Navigate,Quick Outline,O,PDE editor
Views,Show View (Javadoc),乒Q J,In Windows
Web Page Editor Layout,Source Code,把F12,Using Web Page Editor
View,Zoom In,=,In Windows
Terminal view commands,Terminal view insert,犯,Terminal Typing Connected
Task Editor,Submit Task,把申,In Tasks Editor
Text Editing,Show Tooltip Description,F2,Editing Text
Run/Debug,Run Java Application,乒X J,In Windows
Window,Select Maven Profiles,田,In Windows
Run/Debug,Run on Server,把目 R,In Windows
Navigate,Open Task,乒F12,In Windows
Views,Show View (Task List),乒Q K,In Windows
Task Repositories,New Subtask,把用,In Tasks View
Run/Debug,Display,把D,In Dialogs and Windows
Text Editing,Collapse All,把Numpad_Divide,Editing Text
Views,Show View (Error Log),乒Q L,In Windows
Task Repositories,Mark Task Read,把甲,In Tasks Editor
Run/Debug,Previous Page of Memory,"把,",In Table Memory Rendering
Source,Remove Block Comment,把\,Editing Java Source
Source,Show Source Quick Menu,乒S,JavaScript View
Window,Previous Editor,把F6,In Windows
Navigate,Open Type in Hierarchy,把H,JavaScript View
Source,Format,把F,Editing Java Source
Source,Remove Block Comment,\,Editing Java Source
Run/Debug,Debug Eclipse Application,乒D E,In Windows
Text Editing,Text Start,,Editing Text
Edit,Select Next Element,把,Editing in Structured Text Editors
Window,Show Contributing Plug-in,把氾3,In Dialogs and Windows
Terminal view commands,Copy,把C,Terminal Widget in Focus
Edit,Context Information,把正,In Windows
Views,Show View (Synchronize),乒Q Y,In Windows
Text Editing,Insert Line Above Current Line,把,Editing Text
Navigate,Open Type in Hierarchy,把H,In Windows
Navigate,Next Page,氾7,In Windows
Source,Toggle Comment,7,Editing Java Source
Task Repositories,Show Tooltip Description,F4,In Tasks View
JavaScript Debug,JavaScript Breakpoint Properties,,In Breakpoints View
Task Repositories,New Subtask,Insert,In Tasks View
Views,Show View (Cheat Sheets),乒Q H,In Windows
Text Editing,Select Line End,把,Editing Text
Terminal view commands,Terminal view insert,民,Terminal Typing Connected
Terminal view commands,Maximize Active View or Editor,乒,Terminal Widget in Focus
